Country,Year,Life,Population,GDP,Region
Aruba,2009,74.919,106612,35573,America
Aruba,2010,75.059,107488,33288,America
Aruba,2011,75.193,108141,36016,America
Aruba,2012,75.324,108587,35419,America
Aruba,2013,75.455,108883,36083,America
Australia,1964,70.65,11122567,16098,East Asia & Pacific
Australia,1965,70.98,11359763,16601,East Asia & Pacific
Australia,1966,70.82,11617580,16756,East Asia & Pacific
Australia,1967,71.1,11892163,17570,East Asia & Pacific
Australia,1968,70.73,12175746,18261,East Asia & Pacific
Australia,1969,71.14,12457299,18949,East Asia & Pacific
Australia,1970,70.81,12728362,19719,East Asia & Pacific
Australia,1971,71.41,12987847,20176,East Asia & Pacific
Australia,1972,71.93,13236895,20385,East Asia & Pacific
Australia,1973,72.14,13472175,21185,East Asia & Pacific
Australia,1974,71.89,13690285,21383,East Asia & Pacific
Australia,1975,72.84,13889696,21708,East Asia & Pacific
Australia,1976,72.88,14067994,22372,East Asia & Pacific
Australia,1977,73.49,14227905,22373,East Asia & Pacific
Australia,1978,73.88,14379565,22763,East Asia & Pacific
Australia,1979,74.44,14536839,23697,East Asia & Pacific
Australia,1980,74.6,14709918,23872,East Asia & Pacific
Australia,1981,74.96,14901610,24308,East Asia & Pacific
Australia,1982,74.74,15109659,23884,East Asia & Pacific
Australia,1983,75.55,15332790,23584,East Asia & Pacific
Australia,1984,76.02,15567927,24934,East Asia & Pacific
Australia,1985,75.45,15812088,25875,East Asia & Pacific
Australia,1986,76.13,16066496,26057,East Asia & Pacific
Australia,1987,76.32,16330369,26969,East Asia & Pacific
Australia,1988,76.35,16596096,27757,East Asia & Pacific
Australia,1989,76.45,16853690,28556,East Asia & Pacific
Australia,1990,77.05,17096153,28604,East Asia & Pacific
Australia,1991,77.54,17320633,28122,East Asia & Pacific
Australia,1992,77.54,17529469,27895,East Asia & Pacific
Australia,1993,78.07,17727413,28732,East Asia & Pacific
Australia,1994,78.07,17921818,29580,East Asia & Pacific
Australia,1995,78.45,18118416,30359,East Asia & Pacific
Australia,1996,78.53,18319637,31145,East Asia & Pacific
Australia,1997,78.79,18525153,32013,East Asia & Pacific
Australia,1998,79.28,18734878,33085,East Asia & Pacific
Australia,1999,79.53,18947894,34346,East Asia & Pacific
Australia,2000,79.93,19164351,35253,East Asia & Pacific
Australia,2001,80.27,19382188,35452,East Asia & Pacific
Australia,2002,80.29,19604051,36375,East Asia & Pacific
Australia,2003,80.69,19840120,37035,East Asia & Pacific
Australia,2004,81.04,20103822,38130,East Asia & Pacific
Australia,2005,81.44,20403520,38840,East Asia & Pacific
Australia,2006,81.63,20744295,39416,East Asia & Pacific
Australia,2007,81.67,21119988,40643,East Asia & Pacific
Australia,2008,81.567,21513817,41312,East Asia & Pacific
Australia,2009,81.937,21902300,41170,East Asia & Pacific
Australia,2010,82.091,22268384,41330,East Asia & Pacific
Australia,2011,82.231,22605732,41706,East Asia & Pacific
Australia,2012,82.364,22918688,42522,East Asia & Pacific
Australia,2013,82.496,23213944,42840,East Asia & Pacific
Austria,1964,70.16,7220812,13915,Europe & Central Asia
Austria,1965,69.95,7268015,14213,Europe & Central Asia
Austria,1966,70.26,7312775,14898,Europe & Central Asia
Austria,1967,70.14,7355039,15228,Europe & Central Asia
Austria,1968,70.29,7394601,15814,Europe & Central Asia
Austria,1969,70.06,7431574,16743,Europe & Central Asia
Austria,1970,70.11,7465908,17865,Europe & Central Asia
Austria,1971,70.31,7497731,18698,Europe & Central Asia
Austria,1972,70.63,7526469,19747,Europe & Central Asia
Austria,1973,71.21,7550638,20602,Europe & Central Asia
Austria,1974,71.2,7568347,21381,Europe & Central Asia
Austria,1975,71.33,7578498,21364,Europe & Central Asia
Austria,1976,71.82,7580564,22385,Europe & Central Asia
Austria,1977,72.17,7575669,23427,Europe & Central Asia
Austria,1978,72.25,7566450,23364,Europe & Central Asia
Austria,1979,72.56,7556551,24684,Europe & Central Asia
Austria,1980,72.7,7548798,25259,Europe & Central Asia
Austria,1981,73.02,7544359,25187,Europe & Central Asia
Austria,1982,73.18,7543194,25637,Europe & Central Asia
Austria,1983,73.25,7545472,26435,Europe & Central Asia
Austria,1984,73.79,7550960,26522,Europe & Central Asia
Austria,1985,74.01,7559621,27100,Europe & Central Asia
Austria,1986,74.49,7570906,27707,Europe & Central Asia
Austria,1987,74.93,7585345,28136,Europe & Central Asia
Austria,1988,75.41,7605095,28951,Europe & Central Asia
Austria,1989,75.5,7632984,30067,Europe & Central Asia
Austria,1990,75.77,7670513,31053,Europe & Central Asia
Austria,1991,75.83,7719577,31802,Europe & Central Asia
Austria,1992,76.04,7778255,32113,Europe & Central Asia
Austria,1993,76.27,7839625,32017,Europe & Central Asia
Austria,1994,76.59,7894229,32660,Europe & Central Asia
Austria,1995,76.83,7935624,33480,Europe & Central Asia
Austria,1996,77.1,7960464,34237,Europe & Central Asia
Austria,1997,77.5,7971553,34952,Europe & Central Asia
Austria,1998,77.87,7976117,36157,Europe & Central Asia
Austria,1999,78.05,7984694,37382,Europe & Central Asia
Austria,2000,78.33,8004712,38548,Europe & Central Asia
Austria,2001,78.83,8038480,38919,Europe & Central Asia
Austria,2002,78.96,8083059,39370,Europe & Central Asia
Austria,2003,78.96,8134235,39475,Europe & Central Asia
Austria,2004,79.47,8185553,40292,Europe & Central Asia
Austria,2005,79.64,8232196,40875,Europe & Central Asia
Austria,2006,80.1,8273208,42036,Europe & Central Asia
Austria,2007,80.3,8309783,43418,Europe & Central Asia
Austria,2008,80.51,8341806,43952,Europe & Central Asia
Austria,2009,80.392,8369639,42171,Europe & Central Asia
Austria,2010,80.595,8393644,42861,Europe & Central Asia
Austria,2011,80.785,8413429,44029,Europe & Central Asia
Austria,2012,80.965,8428915,44216,Europe & Central Asia
Austria,2013,81.137,8441263,44059,Europe & Central Asia
Azerbaijan,1964,62.701,4440733,5751,Europe & Central Asia
Azerbaijan,1965,63.117,4574500,6012,Europe & Central Asia
Azerbaijan,1966,63.533,4702919,6241,Europe & Central Asia
Azerbaijan,1967,63.945,4826262,6458,Europe & Central Asia
Azerbaijan,1968,64.342,4944932,6778,Europe & Central Asia
Azerbaijan,1969,64.712,5059921,6819,Europe & Central Asia
Azerbaijan,1970,65.035,5172002,7285,Europe & Central Asia
Azerbaijan,1971,65.287,5281238,7416,Europe & Central Asia
Azerbaijan,1972,65.457,5387375,7395,Europe & Central Asia
Azerbaijan,1973,65.545,5490572,7952,Europe & Central Asia
Azerbaijan,1974,65.554,5591016,8076,Europe & Central Asia
Azerbaijan,1975,65.496,5688997,7994,Europe & Central Asia
Azerbaijan,1976,65.387,5784587,8263,Europe & Central Asia
Azerbaijan,1977,65.254,5878259,8351,Europe & Central Asia
Azerbaijan,1978,65.124,5971198,8456,Europe & Central Asia
Azerbaijan,1979,65.017,6064905,8315,Europe & Central Asia
Azerbaijan,1980,64.964,6160502,8228,Europe & Central Asia
Azerbaijan,1981,64.996,6258490,8205,Europe & Central Asia
Azerbaijan,1982,65.108,6358780,8307,Europe & Central Asia
Azerbaijan,1983,65.283,6461139,8469,Europe & Central Asia
Azerbaijan,1984,65.499,6565062,8466,Europe & Central Asia
Azerbaijan,1985,65.695,6670151,8435,Europe & Central Asia
